row,cluster,persona,split,year,cgpa,gender,living,department,backlog,Evaluation,Workload,FutureMacro,SupportGap,Financial,CGPA_ord,silhouette_sample
0,2,Future-confident & Light workload & Financially secure,holdout,4th Year,3.80–4.00,Male,Hall,CSE,0,2.0,4.5,3.0,4.0,1.0,5.0,0.093
1,1,High-achieving & Future-anxious & Well-supported,train,4th Year,3.50–3.79,Male,Hall,CSE,0,3.0,4.5,4.5,2.5,2.0,4.0,0.264
2,1,High-achieving & Future-anxious & Well-supported,holdout,4th Year,3.50–3.79,Male,Hall,CSE,0,2.0,5.0,5.0,4.0,1.0,4.0,0.111
3,0,Low-CGPA & Financially strained & Unsupported,train,3rd Year,3.50–3.79,Male,Hall,CSE,0,3.667,5.0,4.5,5.0,2.0,4.0,0.005
4,0,Low-CGPA & Financially strained & Unsupported,holdout,3rd Year,3.50–3.79,Male,Hall,CSE,0,5.0,4.0,4.0,4.5,4.0,4.0,0.075
5,1,High-achieving & Future-anxious & Well-supported,train,2nd Year,3.50–3.79,Male,Family,CSE,1,2.333,4.25,5.0,3.0,2.0,4.0,0.196
6,1,High-achieving & Future-anxious & Well-supported,train,3rd Year,3.50–3.79,Female,Hall,CSE,0,4.0,4.0,3.5,3.0,3.0,4.0,0.166
7,1,High-achieving & Future-anxious & Well-supported,train,3rd Year,3.50–3.79,Male,Hall,CSE,0,4.333,4.75,5.0,3.5,4.0,4.0,0.036
8,2,Future-confident & Light workload & Financially secure,train,3rd Year,3.00–3.49,Male,Family,CSE,0,4.333,3.5,4.5,3.5,1.0,3.0,-0.071
9,1,High-achieving & Future-anxious & Well-supported,train,3rd Year,3.50–3.79,Female,Mess,CSE,0,2.333,4.25,4.0,3.0,3.0,4.0,0.111
10,0,Low-CGPA & Financially strained & Unsupported,train,3rd Year,3.00–3.49,Male,Hall,CSE,0,3.333,4.25,3.5,2.5,5.0,3.0,0.125
11,2,Future-confident & Light workload & Financially secure,holdout,3rd Year,3.50–3.79,Female,Mess,CSE,0,3.0,4.25,3.0,4.5,2.0,4.0,0.109
12,0,Low-CGPA & Financially strained & Unsupported,train,3rd Year,3.00–3.49,Male,Hall,CSE,0,4.667,4.75,5.0,2.5,5.0,3.0,0.107
13,0,Low-CGPA & Financially strained & Unsupported,holdout,3rd Year,3.50–3.79,Male,Hall,CSE,0,5.0,4.75,5.0,4.0,5.0,4.0,0.097
14,0,Low-CGPA & Financially strained & Unsupported,train,3rd Year,3.00–3.49,Male,Hall,CSE,0,4.333,5.0,4.5,3.5,4.0,3.0,0.2
15,2,Future-confident & Light workload & Financially secure,train,3rd Year,3.00–3.49,Female,Hall,CSE,0,4.0,3.75,4.0,3.5,1.0,3.0,0.013
16,1,High-achieving & Future-anxious & Well-supported,train,2nd Year,3.50–3.79,Male,Family,CSE,0,3.667,4.5,4.5,2.5,3.0,4.0,0.262
17,0,Low-CGPA & Financially strained & Unsupported,train,2nd Year,3.50–3.79,Male,Hall,CSE,0,3.0,4.75,4.5,5.0,4.0,4.0,0.118
18,0,Low-CGPA & Financially strained & Unsupported,train,3rd Year,3.00–3.49,Male,Hall,CSE,0,4.0,4.25,4.5,5.0,5.0,3.0,0.287
19,0,Low-CGPA & Financially strained & Unsupported,holdout,2nd Year,3.00–3.49,Male,Other,CSE,0,4.0,4.75,5.0,5.0,2.0,3.0,0.105
20,2,Future-confident & Light workload & Financially secure,holdout,2nd Year,3.50–3.79,Male,Family,CSE,0,3.333,4.25,3.5,4.5,2.0,4.0,-0.002
21,2,Future-confident & Light workload & Financially secure,train,2nd Year,3.50–3.79,Male,Mess,CSE,0,4.333,3.75,2.0,2.0,2.0,4.0,0.124
22,0,Low-CGPA & Financially strained & Unsupported,train,2nd Year,3.00–3.49,Male,Mess,CSE,0,3.667,4.25,3.5,1.5,5.0,3.0,0.023
23,1,High-achieving & Future-anxious & Well-supported,train,2nd Year,3.80–4.00,Female,Hall,CSE,0,3.667,4.75,4.0,2.0,1.0,5.0,0.23
24,1,High-achieving & Future-anxious & Well-supported,train,2nd Year,3.50–3.79,Male,Mess,CSE,0,5.0,4.5,5.0,2.0,2.0,4.0,0.252
25,0,Low-CGPA & Financially strained & Unsupported,train,2nd Year,3.00–3.49,Female,Hall,CSE,0,4.333,4.75,4.5,4.5,5.0,3.0,0.301
26,0,Low-CGPA & Financially strained & Unsupported,holdout,2nd Year,3.00–3.49,Male,Other,CSE,0,4.667,4.5,5.0,2.0,5.0,3.0,0.042
27,1,High-achieving & Future-anxious & Well-supported,train,2nd Year,3.80–4.00,Male,Mess,CSE,0,5.0,4.0,5.0,3.0,3.0,5.0,0.286
28,0,Low-CGPA & Financially strained & Unsupported,holdout,3rd Year,3.00–3.49,Male,Hall,CSE,0,3.667,4.75,3.5,4.5,5.0,3.0,0.297
29,0,Low-CGPA & Financially strained & Unsupported,holdout,2nd Year,3.00–3.49,Male,Mess,CSE,0,4.333,4.5,5.0,3.0,5.0,3.0,0.159
30,1,High-achieving & Future-anxious & Well-supported,train,3rd Year,3.50–3.79,Male,Hall,CSE,0,5.0,5.0,5.0,3.0,3.0,4.0,0.129
31,1,High-achieving & Future-anxious & Well-supported,train,2nd Year,3.50–3.79,Male,Mess,CSE,0,3.333,3.75,5.0,3.5,5.0,4.0,0.026
32,1,High-achieving & Future-anxious & Well-supported,train,2nd Year,3.80–4.00,Female,Mess,CSE,0,2.333,3.75,5.0,1.5,1.0,5.0,0.137
33,1,High-achieving & Future-anxious & Well-supported,train,2nd Year,3.50–3.79,Male,Mess,CSE,0,2.667,3.75,5.0,2.0,3.0,4.0,0.235
34,1,High-achieving & Future-anxious & Well-supported,train,2nd Year,3.80–4.00,Female,Mess,CSE,0,5.0,4.5,5.0,3.5,5.0,5.0,0.109
35,1,High-achieving & Future-anxious & Well-supported,train,2nd Year,3.80–4.00,Male,Mess,CSE,0,5.0,4.5,4.5,4.0,3.0,5.0,0.178
36,1,High-achieving & Future-anxious & Well-supported,train,2nd Year,3.50–3.79,Female,Other,CSE,0,5.0,5.0,4.5,2.5,2.0,4.0,0.2
37,0,Low-CGPA & Financially strained & Unsupported,train,2nd Year,3.00–3.49,Male,Mess,CSE,0,4.0,5.0,5.0,3.5,5.0,3.0,0.215
38,0,Low-CGPA & Financially strained & Unsupported,holdout,2nd Year,3.00–3.49,Male,Mess,CSE,0,4.667,4.0,4.5,4.0,4.0,3.0,0.191
39,2,Future-confident & Light workload & Financially secure,train,3rd Year,2.50–2.99,Male,Hall,CSE,0,1.667,3.5,4.5,4.5,2.0,2.0,0.043
40,2,Future-confident & Light workload & Financially secure,holdout,3rd Year,3.00–3.49,Male,Hall,CSE,0,3.667,3.5,4.0,3.0,2.0,3.0,0.02
41,2,Future-confident & Light workload & Financially secure,train,3rd Year,3.50–3.79,Male,Mess,CSE,0,4.667,3.25,2.0,5.0,1.0,4.0,0.166
42,0,Low-CGPA & Financially strained & Unsupported,train,2nd Year,2.50–2.99,Male,Mess,CSE,0,3.333,4.75,3.5,2.0,5.0,2.0,0.184
43,2,Future-confident & Light workload & Financially secure,train,2nd Year,2.50–2.99,Male,Mess,CSE,1,2.0,1.5,2.0,3.5,3.0,2.0,0.232
44,0,Low-CGPA & Financially strained & Unsupported,holdout,2nd Year,3.00–3.49,Male,Mess,CSE,0,4.0,4.75,3.5,3.5,4.0,3.0,0.216
45,1,High-achieving & Future-anxious & Well-supported,train,2nd Year,3.80–4.00,Female,Mess,CSE,0,3.333,4.25,4.0,2.5,2.0,5.0,0.247
46,0,Low-CGPA & Financially strained & Unsupported,train,2nd Year,3.50–3.79,Male,Mess,CSE,0,3.0,4.0,4.0,5.0,4.0,4.0,0.101
47,0,Low-CGPA & Financially strained & Unsupported,train,3rd Year,3.00–3.49,Male,Hall,CSE,0,3.333,3.75,3.0,5.0,5.0,3.0,0.177
48,2,Future-confident & Light workload & Financially secure,train,2nd Year,3.50–3.79,Female,Hall,CSE,0,4.0,4.0,3.0,4.0,3.0,4.0,-0.003
49,2,Future-confident & Light workload & Financially secure,train,2nd Year,3.00–3.49,Male,Mess,CSE,0,2.0,4.25,2.5,3.0,1.0,3.0,0.238
50,1,High-achieving & Future-anxious & Well-supported,train,2nd Year,3.50–3.79,Male,Mess,CSE,0,3.0,5.0,4.0,2.5,1.0,4.0,0.155
51,1,High-achieving & Future-anxious & Well-supported,train,2nd Year,3.50–3.79,Female,Other,CSE,0,3.0,5.0,5.0,2.5,2.0,4.0,0.227
52,0,Low-CGPA & Financially strained & Unsupported,train,2nd Year,3.00–3.49,Male,Mess,CSE,0,4.333,4.75,3.5,4.0,4.0,3.0,0.251
53,0,Low-CGPA & Financially strained & Unsupported,train,2nd Year,2.50–2.99,Male,Mess,CSE,0,3.667,3.75,3.5,3.0,4.0,2.0,0.179
54,0,Low-CGPA & Financially strained & Unsupported,train,3rd Year,3.00–3.49,Female,Other,CSE,0,4.0,4.25,4.5,3.5,3.0,3.0,0.067
55,1,High-achieving & Future-anxious & Well-supported,train,1st Year,3.80–4.00,Female,Mess,CSE,0,5.0,5.0,5.0,5.0,1.0,5.0,0.113
56,1,High-achieving & Future-anxious & Well-supported,train,1st Year,3.80–4.00,Male,Mess,CSE,0,4.667,4.0,4.5,2.5,2.0,5.0,0.345
57,1,High-achieving & Future-anxious & Well-supported,train,2nd Year,3.50–3.79,Male,Mess,CSE,0,4.667,4.75,5.0,3.0,4.0,4.0,0.092
58,1,High-achieving & Future-anxious & Well-supported,holdout,1st Year,3.80–4.00,Male,Mess,CSE,0,2.333,4.0,4.5,2.5,5.0,5.0,0.189
59,1,High-achieving & Future-anxious & Well-supported,train,1st Year,3.80–4.00,Male,Mess,CSE,0,4.333,4.25,3.0,3.5,5.0,5.0,0.055
60,0,Low-CGPA & Financially strained & Unsupported,train,1st Year,3.80–4.00,Male,Other,CSE,0,3.0,4.25,4.0,5.0,5.0,5.0,0.026
61,1,High-achieving & Future-anxious & Well-supported,train,1st Year,3.50–3.79,Male,Mess,CSE,0,4.667,5.0,5.0,1.0,4.0,4.0,0.17
62,1,High-achieving & Future-anxious & Well-supported,train,1st Year,3.50–3.79,Male,Other,CSE,0,5.0,3.5,5.0,2.0,3.0,4.0,0.244
63,1,High-achieving & Future-anxious & Well-supported,holdout,1st Year,3.80–4.00,Male,Mess,CSE,0,3.333,4.0,4.5,3.5,4.0,5.0,0.232
64,2,Future-confident & Light workload & Financially secure,train,1st Year,3.50–3.79,Male,Mess,CSE,0,1.667,2.75,5.0,2.0,1.0,4.0,0.044
65,0,Low-CGPA & Financially strained & Unsupported,train,2nd Year,2.50–2.99,Male,Mess,CSE,1,1.333,4.75,4.0,3.0,3.0,2.0,0.05
66,1,High-achieving & Future-anxious & Well-supported,train,1st Year,3.80–4.00,Female,Family,CSE,0,4.667,4.0,3.5,3.0,2.0,5.0,0.199
67,1,High-achieving & Future-anxious & Well-supported,train,1st Year,3.80–4.00,Male,Mess,CSE,0,2.667,4.75,4.5,3.5,2.0,5.0,0.243
68,2,Future-confident & Light workload & Financially secure,train,3rd Year,3.00–3.49,Male,Other,CSE,0,1.333,3.5,3.0,4.0,1.0,3.0,0.261
69,1,High-achieving & Future-anxious & Well-supported,holdout,3rd Year,3.80–4.00,Female,Mess,CSE,0,4.0,4.75,4.5,4.0,3.0,5.0,0.194
70,0,Low-CGPA & Financially strained & Unsupported,train,3rd Year,3.00–3.49,Male,Hall,CSE,0,5.0,5.0,5.0,5.0,5.0,3.0,0.247
71,1,High-achieving & Future-anxious & Well-supported,train,1st Year,3.80–4.00,Male,Mess,CSE,0,4.333,5.0,5.0,3.0,4.0,5.0,0.209
72,1,High-achieving & Future-anxious & Well-supported,train,2nd Year,3.50–3.79,Female,Hall,CSE,0,4.0,4.5,4.5,3.0,4.0,4.0,0.124
73,0,Low-CGPA & Financially strained & Unsupported,train,3rd Year,3.00–3.49,Female,Mess,CSE,0,4.667,5.0,5.0,3.5,5.0,3.0,0.21
