,F1,F2,F3,F4,communality,assigned,primary_loading,secondary_loading,cross_loading
MissMeal,0.018,0.539,0.086,0.07,0.303,F2,0.539,0.086,False
PileUp,-0.002,0.626,0.122,0.051,0.409,F2,0.626,0.122,False
SleepLoss,0.13,0.506,0.103,0.041,0.285,F2,0.506,0.13,False
LabStress,0.125,0.244,0.037,0.086,0.084,F2,0.244,0.125,False
ExamWorry,0.718,0.177,0.069,0.027,0.553,F1,0.718,0.177,False
ResultDemotiv,0.658,0.151,0.114,0.018,0.469,F1,0.658,0.151,False
CGPACompare,0.379,-0.017,0.08,-0.005,0.15,F1,0.379,0.08,False
AskTeacher,0.011,0.136,0.026,0.558,0.331,F4,0.558,0.136,False
Feedback,0.022,0.09,-0.029,0.797,0.644,F4,0.797,0.09,False
Financial,0.082,0.206,0.299,0.106,0.15,F3,0.299,0.206,False
JobWorry,0.119,0.083,0.921,0.023,0.87,F3,0.921,0.119,False
SocioPol,0.074,0.072,0.151,-0.08,0.04,F3,0.151,0.08,False
