space,algorithm,k,silhouette,davies_bouldin,calinski_harabasz,n_clusters_found,min_size,max_size,min_size_frac,max_size_frac,differentiation,ss_shape,ss_level,between_ss,bic,entropy,inertia,degenerate
A_items12,kmeans,2,0.1467,2.5069,102.1462,2,273,417,0.3957,0.6043,0.1137,121.0867,944.1769,1065.2637,,,7175.0226,False
A_items12,kmeans,3,0.1236,2.47,79.1577,3,155,339,0.2246,0.4913,0.4397,678.5593,864.7274,1543.2866,,,6696.9997,False
A_items12,kmeans,4,0.0806,2.4416,70.6759,4,121,249,0.1754,0.3609,0.5408,1052.2393,893.3233,1945.5626,,,6294.7237,False
A_items12,kmeans,5,0.0822,2.3192,62.7894,5,65,191,0.0942,0.2768,0.555,1227.0395,983.7117,2210.7512,,,6029.5351,False
A_items12,kmeans,6,0.0859,2.2549,57.8936,6,54,191,0.0783,0.2768,0.612,1499.6445,950.666,2450.3104,,,5789.9759,False
A_items12,kmeans,7,0.0809,2.1773,54.6137,7,54,154,0.0783,0.2232,0.6187,1652.9675,1018.6896,2671.6571,,,5568.6293,False
A_items12,kmeans,8,0.0834,2.165,51.3153,8,38,130,0.0551,0.1884,0.6114,1738.0685,1104.758,2842.8265,,,5397.4599,False
A_items12,gmm_full,2,0.0811,3.3405,56.5814,2,290,400,0.4203,0.5797,0.5581,349.4604,276.7266,626.187,19484.625,0.995,,False
A_items12,gmm_full,3,0.0162,5.1696,39.9098,3,138,400,0.2,0.5797,0.5888,505.0026,352.743,857.7457,18545.1513,0.9991,,False
A_items12,gmm_full,4,0.0105,5.0728,35.5323,4,138,241,0.2,0.3493,0.565,626.2097,482.0318,1108.2414,15675.0051,0.9994,,False
A_items12,gmm_full,5,0.0046,3.4385,30.6355,5,50,234,0.0725,0.3391,0.5378,672.5032,577.9354,1250.4387,16658.9592,0.9577,,False
A_items12,gmm_full,6,0.0013,2.9463,32.0807,6,24,263,0.0348,0.3812,0.5317,832.2918,733.0405,1565.3323,17252.3367,0.9629,,False
A_items12,gmm_full,7,-0.037,3.1276,24.2818,7,19,264,0.0275,0.3826,0.552,799.6645,649.0482,1448.7127,17853.9605,0.9883,,False
A_items12,gmm_full,8,-0.005,3.0418,26.3683,8,17,205,0.0246,0.2971,0.5748,1008.8794,746.2753,1755.1547,18008.1362,0.9662,,False
A_items12,gmm_diag,2,0.0834,3.3057,58.2477,2,296,394,0.429,0.571,0.53,340.914,302.2739,643.1879,19412.6639,0.983,,False
A_items12,gmm_diag,3,0.027,3.2959,51.3188,3,146,394,0.2116,0.571,0.4366,467.6073,603.4695,1071.0768,19173.5821,0.9245,,False
A_items12,gmm_diag,4,0.0265,3.3509,38.9705,4,61,343,0.0884,0.4971,0.452,542.3693,657.4935,1199.8628,17586.2609,0.8916,,False
A_items12,gmm_diag,5,0.0289,4.0871,30.6717,5,36,263,0.0522,0.3812,0.5052,632.3731,619.3186,1251.6917,14974.7076,0.9894,,False
A_items12,gmm_diag,6,0.0205,4.0644,28.8408,6,23,204,0.0333,0.2957,0.5462,783.7394,651.0317,1434.7711,13176.8127,0.9576,,False
A_items12,gmm_diag,7,0.0042,4.0484,27.6027,7,20,171,0.029,0.2478,0.5126,824.3744,783.8019,1608.1763,12198.93,0.9688,,False
A_items12,gmm_diag,8,0.0033,3.7866,23.0847,8,11,179,0.0159,0.2594,0.5325,840.4472,738.0037,1578.4509,12860.2715,0.9658,,False
A_items12,ward,2,0.1581,2.7368,66.3996,2,155,535,0.2246,0.7754,0.491,356.1286,369.152,725.2807,,,,False
A_items12,ward,3,0.0579,3.0088,59.0031,3,155,291,0.2246,0.4217,0.3789,457.716,750.2311,1207.9471,,,,False
A_items12,ward,4,0.0586,2.856,52.9199,4,87,244,0.1261,0.3536,0.5093,788.7415,759.8956,1548.6371,,,,False
A_items12,ward,5,0.0647,2.6871,47.534,5,61,244,0.0884,0.3536,0.535,957.8323,832.4888,1790.3211,,,,False
A_items12,ward,6,0.0517,2.7364,44.3993,6,61,244,0.0884,0.3536,0.5534,1117.3016,901.8185,2019.1202,,,,False
A_items12,ward,7,0.0367,2.7342,41.4891,7,61,165,0.0884,0.2391,0.5888,1295.9198,905.1916,2201.1114,,,,False
A_items12,ward,8,0.0316,2.6004,38.895,8,61,125,0.0884,0.1812,0.6114,1437.5467,913.5194,2351.0661,,,,False
A_items12,complete,2,0.246,1.8732,31.9859,2,27,663,0.0391,0.9609,0.4338,158.8038,207.2775,366.0813,,,,True
A_items12,complete,3,0.0771,2.864,30.6271,3,27,571,0.0391,0.8275,0.4596,310.0624,364.5114,674.5737,,,,True
A_items12,complete,4,0.0729,2.5634,23.5651,4,11,571,0.0159,0.8275,0.4515,347.5992,422.2607,769.8599,,,,True
A_items12,complete,5,0.061,2.6889,20.7867,5,11,539,0.0159,0.7812,0.4753,423.9468,468.0113,891.958,,,,False
A_items12,complete,6,0.0742,2.5436,25.4522,6,11,486,0.0159,0.7043,0.565,730.3477,562.2898,1292.6375,,,,False
A_items12,complete,7,0.0812,2.4602,28.0169,7,11,433,0.0159,0.6275,0.5507,896.2099,731.331,1627.541,,,,False
A_items12,complete,8,0.0758,2.3553,26.1061,8,10,433,0.0145,0.6275,0.5739,999.3245,742.0656,1741.3901,,,,False
A_items12,average,2,0.3572,1.2364,21.3586,2,8,682,0.0116,0.9884,0.1638,40.637,207.4761,248.1131,,,,True
A_items12,average,3,0.3147,1.1232,13.9181,3,2,680,0.0029,0.9855,0.3131,100.4722,220.4107,320.8829,,,,True
