space,algorithm,k,reason
A_items12,complete,2,degenerate: largest cluster holds 96.1% of n (> 80%)
A_items12,complete,3,degenerate: largest cluster holds 82.8% of n (> 80%)
A_items12,complete,4,degenerate: largest cluster holds 82.8% of n (> 80%)
A_items12,average,2,degenerate: largest cluster holds 98.8% of n (> 80%)
A_items12,average,3,degenerate: largest cluster holds 98.6% of n (> 80%)
A_items12,average,4,degenerate: largest cluster holds 98.4% of n (> 80%)
A_items12,average,5,degenerate: largest cluster holds 98.4% of n (> 80%)
A_items12,average,6,degenerate: largest cluster holds 98.1% of n (> 80%)
A_items12,average,7,degenerate: largest cluster holds 97.8% of n (> 80%)
A_items12,average,8,degenerate: largest cluster holds 97.0% of n (> 80%)
B_subscales4,complete,2,degenerate: largest cluster holds 96.2% of n (> 80%)
B_subscales4,complete,3,degenerate: largest cluster holds 83.2% of n (> 80%)
B_subscales4,average,2,degenerate: largest cluster holds 99.9% of n (> 80%)
B_subscales4,average,3,degenerate: largest cluster holds 99.6% of n (> 80%)
B_subscales4,average,4,degenerate: largest cluster holds 91.0% of n (> 80%)
B_subscales4,average,5,degenerate: largest cluster holds 91.0% of n (> 80%)
B_subscales4,average,6,degenerate: largest cluster holds 89.0% of n (> 80%)
B_subscales4,average,7,degenerate: largest cluster holds 86.8% of n (> 80%)
B_subscales4,average,8,degenerate: largest cluster holds 86.8% of n (> 80%)
B5_subscales5,complete,2,degenerate: largest cluster holds 97.1% of n (> 80%)
B5_subscales5,average,2,degenerate: largest cluster holds 99.9% of n (> 80%)
B5_subscales5,average,3,degenerate: largest cluster holds 99.1% of n (> 80%)
B5_subscales5,average,4,degenerate: largest cluster holds 98.4% of n (> 80%)
B5_subscales5,average,5,degenerate: largest cluster holds 93.5% of n (> 80%)
B5_subscales5,average,6,degenerate: largest cluster holds 92.0% of n (> 80%)
B5_subscales5,average,7,degenerate: largest cluster holds 92.0% of n (> 80%)
B5_subscales5,average,8,degenerate: largest cluster holds 89.7% of n (> 80%)
C_subscales4_cgpa,complete,2,degenerate: largest cluster holds 88.4% of n (> 80%)
C_subscales4_cgpa,complete,3,degenerate: largest cluster holds 88.4% of n (> 80%)
C_subscales4_cgpa,average,2,degenerate: largest cluster holds 99.9% of n (> 80%)
C_subscales4_cgpa,average,3,degenerate: largest cluster holds 99.4% of n (> 80%)
C_subscales4_cgpa,average,4,degenerate: largest cluster holds 93.8% of n (> 80%)
C_subscales4_cgpa,average,5,degenerate: largest cluster holds 92.0% of n (> 80%)
C_subscales4_cgpa,average,6,degenerate: largest cluster holds 92.0% of n (> 80%)
C_subscales4_cgpa,average,7,degenerate: largest cluster holds 87.5% of n (> 80%)
C_subscales4_cgpa,average,8,degenerate: largest cluster holds 87.5% of n (> 80%)
C5_subscales5_cgpa,complete,2,degenerate: largest cluster holds 98.4% of n (> 80%)
C5_subscales5_cgpa,complete,3,degenerate: largest cluster holds 83.2% of n (> 80%)
C5_subscales5_cgpa,average,2,degenerate: largest cluster holds 99.4% of n (> 80%)
C5_subscales5_cgpa,average,3,degenerate: largest cluster holds 99.4% of n (> 80%)
C5_subscales5_cgpa,average,4,degenerate: largest cluster holds 99.1% of n (> 80%)
C5_subscales5_cgpa,average,5,degenerate: largest cluster holds 99.0% of n (> 80%)
C5_subscales5_cgpa,average,6,degenerate: largest cluster holds 98.8% of n (> 80%)
C5_subscales5_cgpa,average,7,degenerate: largest cluster holds 97.0% of n (> 80%)
C5_subscales5_cgpa,average,8,degenerate: largest cluster holds 97.0% of n (> 80%)
