item,theme,prompted_mean,prompted_rank,volunteered_pct,volunteered_rank,rank_gap
CGPACompare,Exams & results,3.24,10,24.3,2,-8
PileUp,Lab & coursework load,3.78,7,28.5,1,-6
AskTeacher,Teachers & teaching quality,2.45,12,9.6,6,-6
Feedback,Teachers & teaching quality,3.16,11,9.6,6,-5
ResultDemotiv,Exams & results,3.87,6,24.3,2,-4
ExamWorry,Exams & results,3.99,5,24.3,2,-3
LabStress,Lab & coursework load,4.12,4,28.5,1,-3
Financial,Financial stress,3.31,9,7.2,9,0
JobWorry,Career & job uncertainty,4.35,1,13.8,4,3
MissMeal,Living conditions & food,4.15,3,4.6,10,7
SleepLoss,Sleep & health,4.28,2,3.2,12,10
